# from: https://www.hup.harvard.edu/supplementary/introductory-econometrics/CPS5.txt
education region sex ethnicity married experience union wage
10 North Male Other Yes 27 Non-unionized 9
12 North Male Other Yes 20 Non-unionized 5.5
12 North Female Other No 4 Non-unionized 3.8
12 North Female Other Yes 29 Non-unionized 10.5
12 North Male Other Yes 40 Unionized 15
16 North Female Other Yes 27 Non-unionized 9
12 North Female Other Yes 5 Unionized 9.57
14 North Male Other No 22 Non-unionized 15
8 North Male Other Yes 42 Non-unionized 11
12 North Female Other Yes 14 Non-unionized 5
17 North Male Hispanic Yes 18 Non-unionized 24.98
17 North Male Other No 3 Non-unionized 20.4
14 North Male Hispanic No 4 Unionized 25
14 North Male Other No 14 Non-unionized 13.98
12 North Male Other Yes 35 Non-unionized 3.5
14 North Male Hispanic No 0 Non-unionized 5
16 North Male Hispanic Yes 7 Unionized 10
16 North Male Black Yes 26 Unionized 15
13 North Male Black No 3 Non-unionized 5.83
13 North Male Hispanic No 16 Non-unionized 9.1
17 North Female Black Yes 32 Non-unionized 11.25
12 North Male Black Yes 25 Unionized 13
14 North Female Other No 15 Unionized 8
12 North Female Other Yes 38 Non-unionized 4.28
16 North Male Black Yes 17 Non-unionized 7.88
12 North Female Other No 7 Non-unionized 6.94
17 North Female Other No 5 Non-unionized 24.98
14 North Male Other Yes 22 Non-unionized 10
14 North Male Other Yes 21 Non-unionized 13.75
13 North Female Hispanic Yes 2 Non-unionized 5.62
14 North Male Black Yes 16 Non-unionized 14.67
16 North Male Other Yes 18 Non-unionized 24.98
12 North Male Other Yes 14 Non-unionized 12
18 North Male Other Yes 12 Non-unionized 15
16 North Male Other No 3 Non-unionized 5.77
17 North Female Other Yes 13 Non-unionized 12.65
16 North Female Other No 42 Non-unionized 11.71
12 North Male Other Yes 8 Non-unionized 13
15 North Female Other Yes 6 Non-unionized 12.5
16 North Male Other Yes 22 Non-unionized 22.5
16 North Female Black No 3 Non-unionized 11.25
16 North Male Other Yes 33 Non-unionized 15.38
13 North Female Other No 8 Unionized 7.7
12 North Male Other Yes 26 Non-unionized 11.84
14 North Male Other Yes 0 Non-unionized 5
12 North Male Other Yes 28 Non-unionized 6.5
8 North Male Other Yes 33 Unionized 9
12 North Male Other No 0 Non-unionized 3.35
12 North Female Other Yes 7 Non-unionized 4.5
14 North Female Other Yes 12 Non-unionized 10.53
9 North Male Other Yes 47 Unionized 3.5
16 North Male Other Yes 12 Non-unionized 15
12 North Female Other No 25 Non-unionized 8.5
12 North Female Other Yes 44 Non-unionized 9.17
9 North Male Other No 33 Unionized 9.6
8 North Female Hispanic Yes 22 Non-unionized 6.88
18 North Female Other Yes 14 Non-unionized 13.95
14 North Male Black No 22 Non-unionized 10
12 North Female Other No 41 Non-unionized 3.75
12 North Female Other No 8 Non-unionized 8
12 North Female Other Yes 43 Non-unionized 11.67
8 North Female Black No 29 Non-unionized 8.89
