Education Sex Married Experience Union Wage Region Ethnicity
10 0 1 27 0 9 N W
12 0 1 20 0 5.5 N W
12 1 0 4 0 3.8 N W
12 1 1 29 0 10.5 N W
12 0 1 40 1 15 N W
16 1 1 27 0 9 N W
12 1 1 5 1 9.57 N W
14 0 0 22 0 15 N W
8 0 1 42 0 11 N W
12 1 1 14 0 5 N W
17 0 1 18 0 24.98 N H
17 0 0 3 0 20.4 N W
14 0 0 4 1 25 N H
14 0 0 14 0 13.98 N W
12 0 1 35 0 3.5 N W
14 0 0 0 0 5 N H
16 0 1 7 1 10 N H
16 0 1 26 1 15 N B
13 0 0 3 0 5.83 N B
13 0 0 16 0 9.1 N H
17 1 1 32 0 11.25 N B
12 0 1 25 1 13 N B
14 1 0 15 1 8 N W
12 1 1 38 0 4.28 N W
16 0 1 17 0 7.88 N B
12 1 0 7 0 6.94 N W
17 1 0 5 0 24.98 N W
14 0 1 22 0 10 N W
14 0 1 21 0 13.75 N W
13 1 1 2 0 5.62 N H
14 0 1 16 0 14.67 N B
16 0 1 18 0 24.98 N W
12 0 1 14 0 12 N W
18 0 1 12 0 15 N W
16 0 0 3 0 5.77 N W
17 1 1 13 0 12.65 N W
16 1 0 42 0 11.71 N W
12 0 1 8 0 13 N W
15 1 1 6 0 12.5 N W
16 0 1 22 0 22.5 N W
16 1 0 3 0 11.25 N B
16 0 1 33 0 15.38 N W
13 1 0 8 1 7.7 N W
12 0 1 26 0 11.84 N W
14 0 1 0 0 5 N W
12 0 1 28 0 6.5 N W
8 0 1 33 1 9 N W
12 0 0 0 0 3.35 N W
12 1 1 7 0 4.5 N W
14 1 1 12 0 10.53 N W
9 0 1 47 1 3.5 N W
16 0 1 12 0 15 N W
12 1 0 25 0 8.5 N W
12 1 1 44 0 9.17 N W
9 0 0 33 1 9.6 N W
8 1 1 22 0 6.88 N H
18 1 1 14 0 13.95 N W
14 0 0 22 0 10 N B
12 1 0 41 0 3.75 N W
12 1 0 8 0 8 N W
12 1 1 43 0 11.67 N W
8 1 0 29 0 8.89 N B
12 0 0 6 1 4 N B
12 1 0 21 0 5.5 N B
16 0 0 3 0 3.35 N B
12 1 1 40 0 10.81 N W
12 0 1 5 0 7 N W
13 0 1 34 1 10 N W
16 1 1 10 0 5.4 N W
12 1 0 10 0 7.5 N W
12 0 1 41 1 11.25 N W
10 1 1 25 1 10 N W
13 0 0 0 0 4 N W
18 0 1 14 1 13.51 N W
12 0 0 22 0 6.75 N W
14 1 1 32 0 14.29 N W
15 1 1 9 0 9.75 N W
12 1 0 0 0 3.35 N W
8 1 0 49 0 3.4 N W
14 1 1 32 0 5.62 N W
12 0 1 7 1 7 N W
16 1 1 10 0 10 N W
